Document ID,Question,Choices,AnswerKey,Correct Answer
doc72,The sentence 'The chair sat on the table' is grammatically correct but makes no sense. This demonstrates the difference between:,"['Syntax and Semantics', 'Lexicon and Morphology', 'Phonology and Morphology', 'Semantics and Pragmatics']",A,A 
doc73,The Chinese Room argument is primarily a thought experiment that aims to challenge which of the following concepts?,"[""The Turing Test's ability to determine true intelligence"", 'The possibility of artificial general intelligence', 'The validity of using Chinese characters in AI research', 'The ethics of using computers to translate languages']",B,A 
doc74,The text suggests that learning Chinese characters is similar to how a computer processes information. Which analogy BEST describes this comparison?,"['A computer learns the meaning of words by analyzing their components, just like a person learns the meaning of Chinese characters.', 'A computer follows a set of rules to manipulate data, just like a person learns the rules of Chinese grammar and character structure.', 'A computer can generate creative text, just like a person can write poetry in Chinese.', 'A computer understands the nuances of human language, just like a person understands the cultural context of Chinese characters.']",B,A 
doc75,Which of the following arguments against the Chinese Room thought experiment suggests that the system's understanding might be more complex than just manipulating symbols?,"['They have a meaning internally and a different external meaning', 'This might be only part of the bigger system', 'Many Chinese rooms', 'Who writes the rule book?']",B,B 
doc76,Which of the following statements is a valid inference rule in propositional logic?,"['If P, then Q. Therefore, if Q, then P.', 'If P, then Q. Q is true. Therefore, P is true.', 'If P, then Q. P is true. Therefore, Q is true.', 'If P, then Q. P is false. Therefore, Q is false.']",C,C 
doc77,Why do we care about the concept of 'categories' in AI?,"['Categories help AI systems understand and interpret complex data.', 'Categories allow AI systems to make predictions based on past experiences.', 'Categories provide a framework for organizing knowledge in AI systems.', 'All of the above.']",D,D 
doc78,Which logical symbol represents the statement 'There exists an X which is 3'?,"['∀', '∃', '∧', '→']",B,B 
doc79,"Which of the following propositions, if true, would logically imply that someone with red hair is evil?","['Everyone with red hair wears glasses.', 'All evil people wear glasses.', 'Some people with red hair are evil.', 'Everyone who wears glasses is evil.']",C,C 
doc80,"According to the provided logical statements, which of the following is TRUE?","['All redheads are female.', 'There are no female redheads.', 'All females are either redheads or evil.', 'If a female is not evil, then she must have red hair.']",C,D 
doc81,What is the primary difference between first-order logic and propositional logic?,"['First-order logic allows for reasoning about objects and their properties, while propositional logic only deals with truth values of propositions.', 'First-order logic uses quantifiers to express relationships between objects, while propositional logic does not.', 'First-order logic is more expressive than propositional logic, allowing for more complex logical statements.', 'All of the above.']",D,D 
doc82,Which of the following is NOT one of Asimov's Laws of Robotics?,"['A robot may not injure a human being or, through inaction, allow a human being to come to harm.', 'A robot must obey orders given it by human beings except where such orders would conflict with the First Law.', 'A robot must protect its own existence as long as such protection does not conflict with the First or Second Law.', 'A robot may not harm a human being or, through inaction, allow a human being to come to harm, unless it is given permission to do so by a human being.']",D,D 
doc83,Which of the following is NOT a fundamental component of Artificial Intelligence (AI)?,"['Data', 'Algorithms', 'Hardware', 'Human Consciousness']",D,D 
doc84,"According to Asimov's First Law of Robotics, what is a robot's primary obligation?","['To obey orders given by human beings', 'To protect itself from harm', 'To perform tasks efficiently and effectively', 'To avoid harming human beings']",D,D 
doc85,Which of the following is NOT a core concept in Artificial Intelligence (AI)?,"['Machine Learning', 'Natural Language Processing', 'Quantum Computing', 'Computer Vision']",C,C 
doc86,"According to Asimov's Laws of Robotics, what is the primary directive a robot must follow?","['A robot must protect its own existence at all costs.', 'A robot must obey orders given to it by human beings.', 'A robot must not harm humanity or, by inaction, allow humanity to come to harm.', 'A robot must be able to distinguish between right and wrong.']",C,C 
doc87,Which of the following is NOT a core component of an artificial neural network?,"['Neurons', 'Synapses', 'Axons', 'Algorithms']",D,C 
doc88,"According to Asimov's Laws of Robotics, which of these actions is a robot **permitted** to take if it conflicts with the First Law (protecting humans)?","['Disobeying a human order if it would harm another human', 'Protecting its own existence from a threat', 'Performing a task that could potentially lead to harm to a human', 'Refusing to perform a task that it considers unethical']",B,B 
doc89,Which of the following is NOT a key characteristic of artificial intelligence (AI)?,"['Ability to learn and adapt', 'Ability to perform tasks that typically require human intelligence', 'Ability to create original works of art', 'Ability to follow pre-programmed instructions']",D,C 
doc90,What ethical concern is raised by the use of military and police drones equipped with weapons?,"['Drones are too expensive to be used effectively.', 'Drones are not accurate enough to target specific individuals.', 'The use of drones raises concerns about the potential for civilian casualties.', 'Drones are not effective in combat situations.']",C,C 
doc91,"The Zeroth Law states, 'A robot may not injure HUMANITY, or, through inaction, allow HUMANITY to come to harm'.  What does this suggest about ethical calculus in AI?","['AI should prioritize individual human safety over all other considerations.', 'AI should prioritize the well-being of humanity as a whole, even if it means sacrificing individual humans in some cases.', 'AI should not make ethical decisions, as this is a task only for humans.', 'AI should only consider the immediate consequences of its actions, not their long-term impact on humanity.']",B,B
doc92,What is the highest academic degree typically held by Darko Bozhinoski?,"['Bachelor of Science', 'Master of Science', 'Doctor of Philosophy', ""Associate's Degree""]",C,C 
doc93,Which of the following best describes the difference between propositional logic and first-order logic?,"['Propositional logic deals with propositions, while first-order logic deals with objects and their properties.', 'First-order logic is more expressive than propositional logic.', 'Propositional logic uses symbols to represent propositions, while first-order logic uses variables.', 'All of the above.']",D,D 
doc94,Which of the following sentences is a proposition according to the definition of propositional logic?,"['The sky is blue.', 'What is the meaning of life?', 'Please close the door.', 'This sentence is false.']",A,A 
doc95,Which of the following surfaces will produce the most friction when rubbed against another surface?,"['Smooth glass', 'Rough sandpaper', 'Soft cloth', 'Polished metal']",B,B 
doc96,Which of the following is NOT an example of a statement that can be classified as either true or false?,"['Grass is green.', '2 + 5 = 7.', 'The Earth is flat.', 'What is your favorite color?']",D,D 
doc97,Which of the following is a statement according to the provided definition?,"['Why are you late?', 'It is raining.', 'Open the door.', 'If only I had studied a little harder...']",B,B 
doc98,Which of the following is NOT a basic element of propositional logic?,"['Propositions', 'Connectives', 'Compound Statements', 'Sentences']",D,D 
doc99,Which of the following is a binary operator in logic?,"['Negation', 'Conjunction', 'XOR', 'All of the above']",B,D 
doc100,Which of the following is a valid example of a simple statement in propositional logic?,"['If it is raining, then the ground is wet.', 'Jane is a math major and she enjoys solving puzzles.', 'The cat is sleeping on the couch.', 'He is either happy or sad.']",C,C 
doc101,"Given the statements: * P means ""It is hot."" * Q means ""It is humid."" * R means ""It is raining."" What does the statement (P ∧Q) → R translate to in plain English?","['If it is hot, then it is raining.', 'If it is humid, then it is raining.', 'If it is hot and humid, then it is raining.', 'If it is raining, then it is hot and humid.']",C,C 
doc102,"Given the following statements:1. If it rains, then the game will be cancelled.2. If the game is cancelled, then we clean house.Which of the following is the logical conclusion that can be derived from these statements using propositional logic?","['If it rains, then we clean house.', 'If we clean house, then it rained.', 'If the game is not cancelled, then it did not rain.', 'We will always clean house.']",A,A 
doc103,"Which of the following statements is equivalent to ""It is not raining and I am carrying an umbrella""?","['~p ∧ q', 'p ∧ ~q', '~p ∨ q', 'p ∨ ~q']",A,A 
doc104,"If statement 'p' is true, what is the truth value of its negation '~p'?","['True', 'False', 'Cannot be determined', 'Both True and False']",B,B 
doc105,"Given the truth table for the logical AND operation, which of the following scenarios results in a TRUE value for 'p AND q'?","[""Both 'p' and 'q' are FALSE"", ""Only 'p' is TRUE, and 'q' is FALSE"", ""Only 'q' is TRUE, and 'p' is FALSE"", ""Both 'p' and 'q' are TRUE""]",D,D 
doc106,"Given the statement variables p and q, when is the disjunction 'p or q' (denoted p ∨ q) considered TRUE?","['When both p and q are true', 'When only p is true', 'When only q is true', 'When at least one of p or q is true']",D,D 
doc107,What is the first step in constructing a truth table for a logical statement?,"['Evaluate the final result of the statement.', 'List all the combinations of truth values for the variables.', 'Add columns for operations mentioned in the statement.', 'Start from inside out the parenthesis if there exist any.']",B,B 
doc108,Which of the following steps is **NOT** part of the general rule for constructing truth tables?,"['List all variables mentioned in the statement in separate columns.', 'List all combinations of truth values for the variables.', 'Add columns for operations mentioned in the statement, starting from outside the parentheses.', 'Evaluate the final result.']",C,C 
doc109,"Which of the following statements accurately describes the condition for two statements, P and Q, to be logically equivalent?","['P and Q must have the same truth value for all possible truth values of their component statements.', 'P and Q must have the same truth value for at least one possible truth value of their component statements.', 'P and Q must have opposite truth values for all possible truth values of their component statements.', 'P and Q must have opposite truth values for at least one possible truth value of their component statements.']",A,A 
doc110,Are the following logical expressions logically equivalent?  (p∧q) ∨(~p∧~q) and  ( p∨~q) ∧ (~p∨q),"['Yes, they are logically equivalent.', 'No, they are not logically equivalent.']",A,A 
doc111,Which of the following is a correct interpretation of the logical equivalence (p∧q) ∨(~p∧~q) ≡ (p∨~q) ∧(~p∨q) represented in the truth table?,"['The statement is true only when both p and q are true.', 'The statement is true only when either p or q is true, but not both.', 'The statement is true only when p and q have opposite truth values.', 'The statement is always true, regardless of the truth values of p and q.']",C,C 
doc112,Which of the following correctly demonstrates De Morgan's Law for the negation of a conjunction (AND)?,"['¬(p ∧ q) ≡ ¬p ∨ ¬q', '¬(p ∧ q) ≡ ¬p ∧ ¬q', '¬(p ∨ q) ≡ ¬p ∨ ¬q', '¬(p ∨ q) ≡ ¬p ∧ ¬q']",A,A 
doc113,Which of the following statements describes a tautology?,"['A statement that is always true, regardless of the truth values of its variables.', 'A statement that is always false, regardless of the truth values of its variables.', 'A statement that can be either true or false, depending on the truth values of its variables.', 'A statement that is only true for specific truth values of its variables.']",A,A 
doc114,Which of the following logical expressions is a tautology?,"['P ∧ (P → Q)', 'P → (P ∧ Q)', '(P ∨ Q) → P', '(P → Q) ∨ (Q → P)']",D,A 
doc115,"Which of the following correctly represents the notation for the conditional statement ""If p then q""?","['p ∧ q', 'p ∨ q', 'p → q', 'p ↔ q']",C,C 
doc116,"Which of the following statements is logically equivalent to the conditional statement ""If it is raining, then the ground is wet""?","['If the ground is not wet, then it is not raining.', 'If the ground is wet, then it is raining.', 'It is raining or the ground is wet.', 'It is not raining and the ground is wet.']",A,A 
doc117,Which of the following is NOT a logical connective used in propositional logic?,"['∧ (and)', '∨ (or)', '⇒ (implies)', '¬ (not)', '≡ (equivalent)']",E,D 
doc118,Which of the following is NOT a valid way to form a sentence in propositional logic?,"['If P is true, then Q is false.', 'P is true and Q is false.', 'P is true or Q is false.', 'P is true, therefore Q is false.']",D,D 
doc119,Which of the following truth tables correctly represents the logical operator 'AND'?,"['A | B | A AND B\n-------\nTrue | True | True\nTrue | False | False\nFalse | True | False\nFalse | False | False', 'A | B | A AND B\n-------\nTrue | True | True\nTrue | False | True\nFalse | True | True\nFalse | False | False', 'A | B | A AND B\n-------\nTrue | True | False\nTrue | False | False\nFalse | True | False\nFalse | False | True', 'A | B | A AND B\n-------\nTrue | True | True\nTrue | False | True\nFalse | True | True\nFalse | False | True']",A,A 
doc120,Which of the following statements accurately describes the relationship between a truth table and a set?,"['A truth table represents all possible subsets of a set.', ""A truth table is a visual representation of a set's elements."", 'A truth table can be used to determine the truth value of a proposition involving elements from a set.', 'A truth table and a set are unrelated concepts.']",C,C 
doc121,Are the statements P → (Q ∨ R) and (P → Q) ∨ (P → R) logically equivalent?,"['Yes, they are logically equivalent.', 'No, they are not logically equivalent.', 'It depends on the truth values of P, Q, and R.', 'The statements are not comparable.']",A,A 
doc122,Are the following statements logically equivalent? 1.  P → (Q ∨ R)2. (P → Q) ∨ (P → R),"['Yes, they are logically equivalent.', 'No, they are not logically equivalent.']",A,A 
doc123,"How can we express the statement ""Every person is mortal."" using propositional logic, given that P(x) represents ""x is a person"" and M(x) represents ""x is mortal""?","['∀x (P(x) → M(x))', '∃x (P(x) ∧ M(x))', '∀x (P(x) ∧ M(x))', '∃x (P(x) → M(x))']",A,A 
doc124,"Why can't we express the statement ""Every person is mortal"" using propositional logic?","['Propositional logic can only handle simple statements, not complex ones.', ""Propositional logic cannot express universal quantifiers like 'every'."", 'Propositional logic is only for mathematical proofs, not philosophical statements.', ""Propositional logic can handle this statement, but it's too complex.""]",B,B 
doc125,"In first-order logic, which of the following is a valid way to represent the statement 'All students are people'?","['∀x (Student(x) → Person(x))', '∃x (Student(x) ∧ Person(x))', '∀x (Person(x) → Student(x))', '∃x (Student(x) → Person(x))']",A,A 
doc126,Which of the following statements is a limitation of propositional logic?,"['It can represent complex relationships between individuals.', 'It can easily express generalizations and patterns.', 'It can represent basic truth values like true and false.', 'It is suitable for representing simple logical statements.']",B,B 
doc127,Which of the following is NOT a valid example of a relation in First-order Logic?,"[""'likes' between two people"", ""'taller than' between two objects"", ""'is a subset of' between two sets"", ""'the sum of' two numbers""]",D,D 
